Tiempo (s),Masa (kg),Cantidad de Cuerda (m),Altura (m),Posicion (m),Velocidad (m/s),Constante de Elasticidad (N/m),Constante del Aire,Gravedad (m/s2)
9.7999935,45.0,168,240.0,-0.0024471283,13.721636,12.0,1.35,1.62
9.899994,45.0,168,240.0,1.4139543,13.825937,12.0,1.35,1.62
9.999994,45.0,168,240.0,2.8382382,13.893995,12.0,1.35,1.62
10.099995,45.0,168,240.0,4.266683,13.925742,12.0,1.35,1.62
10.199995,45.0,168,240.0,5.695557,13.921206,12.0,1.35,1.62
10.299995,45.0,168,240.0,7.1211543,13.880503,12.0,1.35,1.62
10.399996,45.0,168,240.0,8.539789,13.80385,12.0,1.35,1.62
10.499996,45.0,168,240.0,9.947765,13.691552,12.0,1.35,1.62
10.599997,45.0,168,240.0,11.341475,13.54401,12.0,1.35,1.62
10.699997,45.0,168,240.0,12.717331,13.361708,12.0,1.35,1.62
10.799997,45.0,168,240.0,14.071819,13.145227,12.0,1.35,1.62
10.899998,45.0,168,240.0,15.401484,12.89523,12.0,1.35,1.62
10.999998,45.0,168,240.0,16.702932,12.612468,12.0,1.35,1.62
11.099998,45.0,168,240.0,17.972893,12.297771,12.0,1.35,1.62
11.199999,45.0,168,240.0,19.208124,11.952055,12.0,1.35,1.62
11.299999,45.0,168,240.0,20.40554,11.576312,12.0,1.35,1.62
11.4,45.0,168,240.0,21.562138,11.171606,12.0,1.35,1.62
11.5,45.0,168,240.0,22.675032,10.739077,12.0,1.35,1.62
11.6,45.0,168,240.0,23.74146,10.27993,12.0,1.35,1.62
11.700001,45.0,168,240.0,24.758804,9.795435,12.0,1.35,1.62
11.800001,45.0,168,240.0,25.724543,9.286934,12.0,1.35,1.62
11.900002,45.0,168,240.0,26.636335,8.755817,12.0,1.35,1.62
12.000002,45.0,168,240.0,27.49197,8.203532,12.0,1.35,1.62
12.100002,45.0,168,240.0,28.289387,7.631576,12.0,1.35,1.62
12.200003,45.0,168,240.0,29.026695,7.0414968,12.0,1.35,1.62
12.300003,45.0,168,240.0,29.702162,6.4348745,12.0,1.35,1.62
12.400003,45.0,168,240.0,30.314201,5.8133454,12.0,1.35,1.62
12.500004,45.0,168,240.0,30.86142,5.178565,12.0,1.35,1.62
12.600004,45.0,168,240.0,31.34259,4.532222,12.0,1.35,1.62
12.700005,45.0,168,240.0,31.756657,3.876031,12.0,1.35,1.62
12.800005,45.0,168,240.0,32.102745,3.2117271,12.0,1.35,1.62
12.900005,45.0,168,240.0,32.380157,2.5410604,12.0,1.35,1.62
13.000006,45.0,168,240.0,32.588387,1.8657866,12.0,1.35,1.62
13.100006,45.0,168,240.0,32.72709,1.1876864,12.0,1.35,1.62
13.2000065,45.0,168,240.0,32.79611,0.5085249,12.0,1.35,1.62
13.300007,45.0,168,240.0,32.795483,-0.16993046,12.0,1.35,1.62
13.400007,45.0,168,240.0,32.725414,-0.84591675,12.0,1.35,1.62
13.500008,45.0,168,240.0,32.5863,-1.5176868,12.0,1.35,1.62
13.600008,45.0,168,240.0,32.3787,-2.1835122,12.0,1.35,1.62
13.700008,45.0,168,240.0,32.103363,-2.8416686,12.0,1.35,1.62
13.800009,45.0,168,240.0,31.761208,-3.4904742,12.0,1.35,1.62
13.900009,45.0,168,240.0,31.353321,-4.1282716,12.0,1.35,1.62
14.00001,45.0,168,240.0,30.880959,-4.753436,12.0,1.35,1.62
14.10001,45.0,168,240.0,30.34554,-5.364381,12.0,1.35,1.62
14.20001,45.0,168,240.0,29.748642,-5.959566,12.0,1.35,1.62
14.300011,45.0,168,240.0,29.092005,-6.537479,12.0,1.35,1.62
14.400011,45.0,168,240.0,28.377514,-7.096676,12.0,1.35,1.62
14.500011,45.0,168,240.0,27.6072,-7.6357617,12.0,1.35,1.62
14.600012,45.0,168,240.0,26.783228,-8.153393,12.0,1.35,1.62
14.700012,45.0,168,240.0,25.907902,-8.64829,12.0,1.35,1.62
14.800013,45.0,168,240.0,24.983644,-9.119234,12.0,1.35,1.62
14.900013,45.0,168,240.0,24.012999,-9.565077,12.0,1.35,1.62
15.000013,45.0,168,240.0,22.998644,-9.984723,12.0,1.35,1.62
15.100014,45.0,168,240.0,21.943336,-10.37717,12.0,1.35,1.62
15.200014,45.0,168,240.0,20.849943,-10.741479,12.0,1.35,1.62
15.3000145,45.0,168,240.0,19.721418,-11.076781,12.0,1.35,1.62
15.400015,45.0,168,240.0,18.560799,-11.382298,12.0,1.35,1.62
15.500015,45.0,168,240.0,17.371187,-11.657326,12.0,1.35,1.62
15.600016,45.0,168,240.0,16.15578,-11.901233,12.0,1.35,1.62
15.700016,45.0,168,240.0,14.917818,-12.11348,12.0,1.35,1.62
15.800016,45.0,168,240.0,13.660551,-12.293618,12.0,1.35,1.62
15.900017,45.0,168,240.0,12.387322,-12.441269,12.0,1.35,1.62
16.000017,45.0,168,240.0,11.101517,-12.556144,12.0,1.35,1.62
16.100018,45.0,168,240.0,9.806465,-12.638046,12.0,1.35,1.62
16.200018,45.0,168,240.0,8.505606,-12.686861,12.0,1.35,1.62
16.300018,45.0,168,240.0,7.202291,-12.702557,12.0,1.35,1.62
16.400019,45.0,168,240.0,5.899963,-12.685195,12.0,1.35,1.62
16.50002,45.0,168,240.0,4.601954,-12.63492,12.0,1.35,1.62
16.60002,45.0,168,240.0,3.3116517,-12.551958,12.0,1.35,1.62
16.70002,45.0,168,240.0,2.0324073,-12.436625,12.0,1.35,1.62
16.80002,45.0,168,240.0,0.76746416,-12.289314,12.0,1.35,1.62
16.90002,45.0,168,240.0,-0.47988367,-12.11051,12.0,1.35,1.62
17.000021,45.0,168,240.0,-1.7064929,-11.900763,12.0,1.35,1.62
17.100021,45.0,168,240.0,-2.9092174,-11.660715,12.0,1.35,1.62
17.200022,45.0,168,240.0,-4.0849814,-11.391083,12.0,1.35,1.62
17.300022,45.0,168,240.0,-5.2308507,-11.092648,12.0,1.35,1.62
17.400023,45.0,168,240.0,-6.3438973,-10.766283,12.0,1.35,1.62
17.500023,45.0,168,240.0,-7.4213634,-10.412907,12.0,1.35,1.62
17.600023,45.0,168,240.0,-8.460518,-10.033531,12.0,1.35,1.62
17.700024,45.0,168,240.0,-9.458815,-9.6292095,12.0,1.35,1.62
17.800024,45.0,168,240.0,-10.413761,-9.201065,12.0,1.35,1.62
17.900024,45.0,168,240.0,-11.322985,-8.750299,12.0,1.35,1.62
18.000025,45.0,168,240.0,-12.184298,-8.27813,12.0,1.35,1.62
18.100025,45.0,168,240.0,-12.995569,-7.7858667,12.0,1.35,1.62
18.200026,45.0,168,240.0,-13.754871,-7.2748303,12.0,1.35,1.62
18.300026,45.0,168,240.0,-14.4603615,-6.746424,12.0,1.35,1.62
18.400026,45.0,168,240.0,-15.110388,-6.2020526,12.0,1.35,1.62
18.500027,45.0,168,240.0,-15.703417,-5.6431894,12.0,1.35,1.62
18.600027,45.0,168,240.0,-16.238064,-5.0713396,12.0,1.35,1.62
18.700027,45.0,168,240.0,-16.713142,-4.4880085,12.0,1.35,1.62
18.800028,45.0,168,240.0,-17.127565,-3.894766,12.0,1.35,1.62
18.900028,45.0,168,240.0,-17.480465,-3.2931626,12.0,1.35,1.62
19.000029,45.0,168,240.0,-17.771091,-2.6847978,12.0,1.35,1.62
19.100029,45.0,168,240.0,-17.998873,-2.071283,12.0,1.35,1.62
19.20003,45.0,168,240.0,-18.163414,-1.4542074,12.0,1.35,1.62
19.30003,45.0,168,240.0,-18.264471,-0.83520555,12.0,1.35,1.62
19.40003,45.0,168,240.0,-18.301975,-0.21587086,12.0,1.35,1.62
19.50003,45.0,168,240.0,-18.276018,0.4021635,12.0,1.35,1.62
19.60003,45.0,168,240.0,-18.186852,1.0173192,12.0,1.35,1.62
19.700031,45.0,168,240.0,-18.034899,1.6279926,12.0,1.35,1.62
19.800032,45.0,168,240.0,-17.820747,2.2326016,12.0,1.35,1.62
19.900032,45.0,168,240.0,-17.545132,2.8296137,12.0,1.35,1.62
20.000032,45.0,168,240.0,-17.208961,3.417478,12.0,1.35,1.62
20.100033,45.0,168,240.0,-16.813274,3.9947171,12.0,1.35,1.62
20.200033,45.0,168,240.0,-16.359297,4.5598383,12.0,1.35,1.62
20.300034,45.0,168,240.0,-15.848362,5.111433,12.0,1.35,1.62
20.400034,45.0,168,240.0,-15.281982,5.648097,12.0,1.35,1.62
20.500034,45.0,168,240.0,-14.6618,6.1684704,12.0,1.35,1.62
20.600035,45.0,168,240.0,-13.989567,6.6712675,12.0,1.35,1.62
20.700035,45.0,168,240.0,-13.267212,7.155219,12.0,1.35,1.62
20.800035,45.0,168,240.0,-12.496733,7.619138,12.0,1.35,1.62
20.900036,45.0,168,240.0,-11.680288,8.061871,12.0,1.35,1.62
21.000036,45.0,168,240.0,-10.820158,8.48232,12.0,1.35,1.62
21.100037,45.0,168,240.0,-9.918671,8.879479,12.0,1.35,1.62
21.200037,45.0,168,240.0,-8.978329,9.25237,12.0,1.35,1.62
21.300037,45.0,168,240.0,-8.0016575,9.600107,12.0,1.35,1.62
21.400038,45.0,168,240.0,-6.9913383,9.921853,12.0,1.35,1.62
21.500038,45.0,168,240.0,-5.9500623,10.216858,12.0,1.35,1.62
21.600039,45.0,168,240.0,-4.8806424,10.484428,12.0,1.35,1.62
21.700039,45.0,168,240.0,-3.7859654,10.723949,12.0,1.35,1.62
21.80004,45.0,168,240.0,-2.6689124,10.934891,12.0,1.35,1.62
21.90004,45.0,168,240.0,-1.5324912,11.116778,12.0,1.35,1.62
22.00004,45.0,168,240.0,-0.37967062,11.269237,12.0,1.35,1.62
