Tiempo (s);Masa (kg);Cantidad de Cuerda (m);Altura (m);Posicion (m);Velocidad (m/s);Constante de Elasticidad (N/m);Constante del Aire;Gravedad (m/s2)
53.999.977;105.0;240;240.0;-7,09E+03;33.690.365;200.0;19.075;9.81
54.999.976;105.0;240;240.0;32.828.817;33.801.483;200.0;19.075;9.81
55.999.975;105.0;240;240.0;6.542.357;33.280.144;200.0;19.075;9.81
56.999.974;105.0;240;240.0;9.717.376;32.147.415;200.0;19.075;9.81
57.999.973;105.0;240;240.0;12.750.213;30.435.411;200.0;19.075;9.81
5.899.997;105.0;240;240.0;15.586.871;28.186.451;200.0;19.075;9.81
5.999.997;105.0;240;240.0;18.177.952;25.452.122;200.0;19.075;9.81
6.099.997;105.0;240;240.0;20.479.523;22.292.156;200.0;19.075;9.81
6.199.997;105.0;240;240.0;22.453.876;18.773.094;200.0;19.075;9.81
6.299.997;105.0;240;240.0;24.070.045;14.967.035;200.0;19.075;9.81
63.999.968;105.0;240;240.0;25.304.317;10.950.126;200.0;19.075;9.81
64.999.967;105.0;240;240.0;26.140.522;6.801.067;200.0;19.075;9.81
65.999.966;105.0;240;240.0;26.570.206;25.996.528;200.0;19.075;9.81
66.999.965;105.0;240;240.0;26.592.655;-15.748.696;200.0;19.075;9.81
67.999.964;105.0;240;240.0;2.621.476;-5.645.093;200.0;19.075;9.81
68.999.963;105.0;240;240.0;25.450.748;-9.536.969;200.0;19.075;9.81
6.999.996;105.0;240;240.0;24.321.812;-13.181.087;200.0;19.075;9.81
7.099.996;105.0;240;240.0;22.855.549;-1.651.397;200.0;19.075;9.81
7.199.996;105.0;240;240.0;21.085.358;-19.479.017;200.0;19.075;9.81
7.299.996;105.0;240;240.0;1.904.972;-22.027.523;200.0;19.075;9.81
7.399.996;105.0;240;240.0;16.791.382;-24.119.413;200.0;19.075;9.81
74.999.957;105.0;240;240.0;1.435.643;-25.723.904;200.0;19.075;9.81
75.999.956;105.0;240;240.0;11.793.467;-26.819.784;200.0;19.075;9.81
76.999.955;105.0;240;240.0;9.152.597;-27.395.763;200.0;19.075;9.81
77.999.954;105.0;240;240.0;64.844.723;-2.745.041;200.0;19.075;9.81
78.999.953;105.0;240;240.0;38.393.693;-2.699.208;200.0;19.075;9.81
7.999.995;105.0;240;240.0;12.661.729;-2.603.852;200.0;19.075;9.81
8.099.996;105.0;240;240.0;-11.884.103;-24.616.392;200.0;19.075;9.81
8.199.996;105.0;240;240.0;-3.480.691;-22.760.649;200.0;19.075;9.81
8.299.996;105.0;240;240.0;-5.570.861;-20.513.664;200.0;19.075;9.81
8.399.997;105.0;240;240.0;-74.235.277;-17.924.404;200.0;19.075;9.81
8.499.997;105.0;240;240.0;-9.008.417;-15.047.287;200.0;19.075;9.81
85.999.975;105.0;240;240.0;-10.300.781;-11.941.126;200.0;19.075;9.81
8.699.998;105.0;240;240.0;-11.281.745;-8.668.007;200.0;19.075;9.81
8.799.998;105.0;240;240.0;-11.938.621;-52.919.393;200.0;19.075;9.81
8.899.999;105.0;240;240.0;-12.264.955;-18.777.819;200.0;19.075;9.81
8.999.999;105.0;240;240.0;-12.260.602;15.101.454;200.0;19.075;9.81
9.099.999;105.0;240;240.0;-11.931.579;4.809.075;200.0;19.075;9.81
9.2;105.0;240;240.0;-11.289.847;7.959.117;200.0;19.075;9.81
9.3;105.0;240;240.0;-10.352.995;10.904.145;200.0;19.075;9.81
9.400.001;105.0;240;240.0;-9.143.779;13.592.947;200.0;19.075;9.81
9.500.001;105.0;240;240.0;-7.689.666;159.799.385;200.0;19.075;9.81
9.600.001;105.0;240;240.0;-60.221.434;18.026.041;200.0;19.075;9.81
9.700.002;105.0;240;240.0;-4.176.178;1.969.918;200.0;19.075;9.81
